CID_MEESHOSKU_SIZE,SKU,TOTAL,
"4005214-ALC4045PCH1-M","ALC4045PCH-M","38",
"4005214-ALC4045PCH1-S","ALC4045PCH-S","173",
"4006468-ALC4045PCH-S","ALC4045PCH-S","173",
"4088521-ALC4045PCHZ-S","ALC4045PCH-S","173",
"5105405-ALC4045PCH3-S","ALC4045PCH-S","173",
"4088521-ALC4045PCHZ-XL","ALC4045PCH-XL","6",
"5105405-ALC4045PCH3-XL","ALC4045PCH-XL","6",
"4005214-ALC4045PCH1-XL","ALC4045PCH-XL","6",
"4006468-ALC4045PCH-XL","ALC4045PCH-XL","6",
"5105405-ALC4045PCH3-XS","ALC4045PCH-XS","25",
"4005214-ALC4045PCH1-XS","ALC4045PCH-XS","25",
"4006468-ALC4045PCH-XS","ALC4045PCH-XS","25",
"4088521-ALC4045PCHZ-XS","ALC4045PCH-XS","25",
"4088521-ALC4045PCHZ-XXL","ALC4045PCH-XXL","60",
"5105405-ALC4045PCH3-XXL","ALC4045PCH-XXL","60",
"4005214-ALC4045PCH1-XXL","ALC4045PCH-XXL","60",
"4006468-ALC4045PCH-XXL","ALC4045PCH-XXL","60",
"3385691-ALC4045PINKX-L","ALC4045PINK-L","88",
"4057448-ALC4045PINKZ-L","ALC4045PINK-L","88",
"3059003-ALC4045PINK-L","ALC4045PINK-L","88",
"4204794-ALC4045PINK1XZ-L","ALC4045PINK-L","88",
"4088521-ALC4045PINK2Z-L","ALC4045PINK-L","88",
"3385682-ALC4045PINK1X-L","ALC4045PINK-L","88",
"4161373-ALC4045PINKXZ-L","ALC4045PINK-L","88",
"4204631-ALC4045PINKZX-L","ALC4045PINK-L","88",
"4502726-ALC4045PINKXZ1-L","ALC4045PINK-L","88",
"4161373-ALC4045PINKXZ-M","ALC4045PINK-M","97",
"4204631-ALC4045PINKZX-M","ALC4045PINK-M","97",
"4502726-ALC4045PINKXZ1-M","ALC4045PINK-M","97",
"3385691-ALC4045PINKX-M","ALC4045PINK-M","97",
"4057448-ALC4045PINKZ-M","ALC4045PINK-M","97",
"3059003-ALC4045PINK-M","ALC4045PINK-M","97",
"4204794-ALC4045PINK1XZ-M","ALC4045PINK-M","97",
"4088521-ALC4045PINK2Z-M","ALC4045PINK-M","97",
"3385682-ALC4045PINK1X-M","ALC4045PINK-M","97",
"3385682-ALC4045PINK1X-S","ALC4045PINK-S","107",
"4161373-ALC4045PINKXZ-S","ALC4045PINK-S","107",
"4204631-ALC4045PINKZX-S","ALC4045PINK-S","107",
"4502726-ALC4045PINKXZ1-S","ALC4045PINK-S","107",
"3385691-ALC4045PINKX-S","ALC4045PINK-S","107",
"4057448-ALC4045PINKZ-S","ALC4045PINK-S","107",
"3059003-ALC4045PINK-S","ALC4045PINK-S","107",
"4204794-ALC4045PINK1XZ-S","ALC4045PINK-S","107",
"4088521-ALC4045PINK2Z-S","ALC4045PINK-S","107",
"4057448-ALC4045PINKZ-XL","ALC4045PINK-XL","97",
"3059003-ALC4045PINK-XL","ALC4045PINK-XL","97",
"4204794-ALC4045PINK1XZ-XL","ALC4045PINK-XL","97",
"4088521-ALC4045PINK2Z-XL","ALC4045PINK-XL","97",
"3385682-ALC4045PINK1X-XL","ALC4045PINK-XL","97",
"4161373-ALC4045PINKXZ-XL","ALC4045PINK-XL","97",
"4204631-ALC4045PINKZX-XL","ALC4045PINK-XL","97",
"4502726-ALC4045PINKXZ1-XL","ALC4045PINK-XL","97",
"3385691-ALC4045PINKX-XL","ALC4045PINK-XL","97",
"3385682-ALC4045PINK1X-XS","ALC4045PINK-XS","83",
"4161373-ALC4045PINKXZ-XS","ALC4045PINK-XS","83",
"4204631-ALC4045PINKZX-XS","ALC4045PINK-XS","83",
"4502726-ALC4045PINKXZ1-XS","ALC4045PINK-XS","83",
"3385691-ALC4045PINKX-XS","ALC4045PINK-XS","83",
"4057448-ALC4045PINKZ-XS","ALC4045PINK-XS","83",
"3059003-ALC4045PINK-XS","ALC4045PINK-XS","83",
"4204794-ALC4045PINK1XZ-XS","ALC4045PINK-XS","83",
"4088521-ALC4045PINK2Z-XS","ALC4045PINK-XS","83",
"4204794-ALC4045PINK1XZ-XXL","ALC4045PINK-XXL","98",
"4088521-ALC4045PINK2Z-XXL","ALC4045PINK-XXL","98",
"3385682-ALC4045PINK1X-XXL","ALC4045PINK-XXL","98",
"4161373-ALC4045PINKXZ-XXL","ALC4045PINK-XXL","98",
"4204631-ALC4045PINKZX-XXL","ALC4045PINK-XXL","98",
"4502726-ALC4045PINKXZ1-XXL","ALC4045PINK-XXL","98",
"3385691-ALC4045PINKX-XXL","ALC4045PINK-XXL","98",
"4057448-ALC4045PINKZ-XXL","ALC4045PINK-XXL","98",
"3059003-ALC4045PINK-XXL","ALC4045PINK-XXL","98",
"5272903-ALC4045PNP2-L","ALC4045PNP-L","305",
"4532382-EDT4045PNP1-L","ALC4045PNP-L","305",
"4532420-EDT4045PNP-L","ALC4045PNP-L","305",
"5106077-ALC4045PNP-L","ALC4045PNP-L","305",
"5272903-ALC4045PNP2-M","ALC4045PNP-M","312",
"4532382-EDT4045PNP1-M","ALC4045PNP-M","312",
"4532420-EDT4045PNP-M","ALC4045PNP-M","312",
"5106077-ALC4045PNP-M","ALC4045PNP-M","312",
"5106077-ALC4045PNP-S","ALC4045PNP-S","310",
"5272903-ALC4045PNP2-S","ALC4045PNP-S","310",
"4532382-EDT4045PNP1-S","ALC4045PNP-S","310",
"4532420-EDT4045PNP-S","ALC4045PNP-S","310",
"4532382-EDT4045PNP1-XL","ALC4045PNP-XL","310",
"4532420-EDT4045PNP-XL","ALC4045PNP-XL","310",
"5106077-ALC4045PNP-XL","ALC4045PNP-XL","310",
"5272903-ALC4045PNP2-XL","ALC4045PNP-XL","310",
"4532420-EDT4045PNP-XXL","ALC4045PNP-XXL","303",
"5106077-ALC4045PNP-XXL","ALC4045PNP-XXL","303",
"5272903-ALC4045PNP2-XXL","ALC4045PNP-XXL","303",
"4532382-EDT4045PNP1-XXL","ALC4045PNP-XXL","303",
"2483701-ALC4045POLKANBX1-L","ALC4045POLKANB-L","98",
"3275775-ALC4045POLKANBX2-L","ALC4045POLKANB-L","98",
"1152099-ALC4045POLKANB1-L","ALC4045POLKANB-L","98",
"3414269-TDC4045POLKANBX-L","ALC4045POLKANB-L","98",
"4207437-ALC4045POLKANBXZ1-L","ALC4045POLKANB-L","98",
"1873575-TDC4045POLKANB-L","ALC4045POLKANB-L","98",
"4205455-ALC4045POLKANBXZ2-L","ALC4045POLKANB-L","98",
"2482237-ALC4045POLKANBX-L","ALC4045POLKANB-L","98",
"4205950-ALC4045POLKANBXZ-L","ALC4045POLKANB-L","98",
"1891018-TDC4045POLKANB1-L","ALC4045POLKANB-L","98",
"1100544-ALC4045POLKANB-L","ALC4045POLKANB-L","98",
"1891018-TDC4045POLKANB1-M","ALC4045POLKANB-M","97",
"1100544-ALC4045POLKANB-M","ALC4045POLKANB-M","97",
"2483701-ALC4045POLKANBX1-M","ALC4045POLKANB-M","97",
"3275775-ALC4045POLKANBX2-M","ALC4045POLKANB-M","97",
"1152099-ALC4045POLKANB1-M","ALC4045POLKANB-M","97",
"3414269-TDC4045POLKANBX-M","ALC4045POLKANB-M","97",
"4207437-ALC4045POLKANBXZ1-M","ALC4045POLKANB-M","97",
"1873575-TDC4045POLKANB-M","ALC4045POLKANB-M","97",
"4205455-ALC4045POLKANBXZ2-M","ALC4045POLKANB-M","97",
"2482237-ALC4045POLKANBX-M","ALC4045POLKANB-M","97",
"4205950-ALC4045POLKANBXZ-M","ALC4045POLKANB-M","97",
"4205455-ALC4045POLKANBXZ2-S","ALC4045POLKANB-S","116",
"2482237-ALC4045POLKANBX-S","ALC4045POLKANB-S","116",
"4205950-ALC4045POLKANBXZ-S","ALC4045POLKANB-S","116",
"1891018-TDC4045POLKANB1-S","ALC4045POLKANB-S","116",
"1100544-ALC4045POLKANB-S","ALC4045POLKANB-S","116",
"2483701-ALC4045POLKANBX1-S","ALC4045POLKANB-S","116",
"3275775-ALC4045POLKANBX2-S","ALC4045POLKANB-S","116",
"1152099-ALC4045POLKANB1-S","ALC4045POLKANB-S","116",
"3414269-TDC4045POLKANBX-S","ALC4045POLKANB-S","116",
"4207437-ALC4045POLKANBXZ1-S","ALC4045POLKANB-S","116",
"1873575-TDC4045POLKANB-S","ALC4045POLKANB-S","116",
"3275775-ALC4045POLKANBX2-XL","ALC4045POLKANB-XL","92",
"1152099-ALC4045POLKANB1-XL","ALC4045POLKANB-XL","92",
"3414269-TDC4045POLKANBX-XL","ALC4045POLKANB-XL","92",
"4207437-ALC4045POLKANBXZ1-XL","ALC4045POLKANB-XL","92",
"1873575-TDC4045POLKANB-XL","ALC4045POLKANB-XL","92",
"4205455-ALC4045POLKANBXZ2-XL","ALC4045POLKANB-XL","92",
"2482237-ALC4045POLKANBX-XL","ALC4045POLKANB-XL","92",
"4205950-ALC4045POLKANBXZ-XL","ALC4045POLKANB-XL","92",
"1891018-TDC4045POLKANB1-XL","ALC4045POLKANB-XL","92",
"1100544-ALC4045POLKANB-XL","ALC4045POLKANB-XL","92",
"2483701-ALC4045POLKANBX1-XL","ALC4045POLKANB-XL","92",
"4207437-ALC4045POLKANBXZ1-XS","ALC4045POLKANB-XS","3",
"1873575-TDC4045POLKANB-XS","ALC4045POLKANB-XS","3",
"4205455-ALC4045POLKANBXZ2-XS","ALC4045POLKANB-XS","3",
"2482237-ALC4045POLKANBX-XS","ALC4045POLKANB-XS","3",
"4205950-ALC4045POLKANBXZ-XS","ALC4045POLKANB-XS","3",
"1891018-TDC4045POLKANB1-XS","ALC4045POLKANB-XS","3",
"1100544-ALC4045POLKANB-XS","ALC4045POLKANB-XS","3",
"2483701-ALC4045POLKANBX1-XS","ALC4045POLKANB-XS","3",
"3275775-ALC4045POLKANBX2-XS","ALC4045POLKANB-XS","3",
"1152099-ALC4045POLKANB1-XS","ALC4045POLKANB-XS","3",
"3414269-TDC4045POLKANBX-XS","ALC4045POLKANB-XS","3",
"3414269-TDC4045POLKANBX-XXL","ALC4045POLKANB-XXL","100",
"4207437-ALC4045POLKANBXZ1-XXL","ALC4045POLKANB-XXL","100",
"1873575-TDC4045POLKANB-XXL","ALC4045POLKANB-XXL","100",
"4205455-ALC4045POLKANBXZ2-XXL","ALC4045POLKANB-XXL","100",
"2482237-ALC4045POLKANBX-XXL","ALC4045POLKANB-XXL","100",
"4205950-ALC4045POLKANBXZ-XXL","ALC4045POLKANB-XXL","100",
"1891018-TDC4045POLKANB1-XXL","ALC4045POLKANB-XXL","100",
"1100544-ALC4045POLKANB-XXL","ALC4045POLKANB-XXL","100",
"2483701-ALC4045POLKANBX1-XXL","ALC4045POLKANB-XXL","100",
"3275775-ALC4045POLKANBX2-XXL","ALC4045POLKANB-XXL","100",
"1152099-ALC4045POLKANB1-XXL","ALC4045POLKANB-XXL","100",
"4532382-EDT4045PPY1-L","ALC4045PPY-L","25",
"4532127-EDT4045PPY-L","ALC4045PPY-L","25",
"4532127-EDT4045PPY-M","ALC4045PPY-M","17",
"4532382-EDT4045PPY1-M","ALC4045PPY-M","17",
"4532127-EDT4045PPY-S","ALC4045PPY-S","32",
"4532382-EDT4045PPY1-S","ALC4045PPY-S","32",
"4532127-EDT4045PPY-XL","ALC4045PPY-XL","15",
"4532382-EDT4045PPY1-XL","ALC4045PPY-XL","15",
"4532127-EDT4045PPY-XXL","ALC4045PPY-XXL","21",
"4532382-EDT4045PPY1-XXL","ALC4045PPY-XXL","21",
"4204631-ALC4045PRPLZX-L","ALC4045PRPL-L","99",
"3059003-ALC4045PRPL-L","ALC4045PRPL-L","99",
"4029959-ALC4045PRPLZ-L","ALC4045PRPL-L","99",
"4197297-ALC4045PRPLXZ2-L","ALC4045PRPL-L","99",
"3385691-ALC4045PRPLX-L","ALC4045PRPL-L","99",
"3398689-ALC4045PRPL2X-L","ALC4045PRPL-L","99",
"4035198-ALC4045PRPL2Z-L","ALC4045PRPL-L","99",
"3386070-ALC4045PRPL1X-L","ALC4045PRPL-L","99",
"5245237-ALC4045PRPL5-L","ALC4045PRPL-L","99",
"4006521-ALC4045PRPL3-L","ALC4045PRPL-L","99",
"4161373-ALC4045PRPLXZ-L","ALC4045PRPL-L","99",
"4006521-ALC4045PRPL3-M","ALC4045PRPL-M","94",
"4161373-ALC4045PRPLXZ-M","ALC4045PRPL-M","94",
"4204631-ALC4045PRPLZX-M","ALC4045PRPL-M","94",
"3059003-ALC4045PRPL-M","ALC4045PRPL-M","94",
"4029959-ALC4045PRPLZ-M","ALC4045PRPL-M","94",
"4197297-ALC4045PRPLXZ2-M","ALC4045PRPL-M","94",
"3385691-ALC4045PRPLX-M","ALC4045PRPL-M","94",
"3398689-ALC4045PRPL2X-M","ALC4045PRPL-M","94",
"4035198-ALC4045PRPL2Z-M","ALC4045PRPL-M","94",
"3386070-ALC4045PRPL1X-M","ALC4045PRPL-M","94",
"5245237-ALC4045PRPL5-M","ALC4045PRPL-M","94",
"4006521-ALC4045PRPL3-S","ALC4045PRPL-S","114",
"4161373-ALC4045PRPLXZ-S","ALC4045PRPL-S","114",
"4204631-ALC4045PRPLZX-S","ALC4045PRPL-S","114",
"3059003-ALC4045PRPL-S","ALC4045PRPL-S","114",
"4029959-ALC4045PRPLZ-S","ALC4045PRPL-S","114",
"4197297-ALC4045PRPLXZ2-S","ALC4045PRPL-S","114",
"3385691-ALC4045PRPLX-S","ALC4045PRPL-S","114",
"3398689-ALC4045PRPL2X-S","ALC4045PRPL-S","114",
"4035198-ALC4045PRPL2Z-S","ALC4045PRPL-S","114",
"3386070-ALC4045PRPL1X-S","ALC4045PRPL-S","114",
"5245237-ALC4045PRPL5-S","ALC4045PRPL-S","114",
"4197297-ALC4045PRPLXZ2-XL","ALC4045PRPL-XL","74",
"3385691-ALC4045PRPLX-XL","ALC4045PRPL-XL","74",
"3398689-ALC4045PRPL2X-XL","ALC4045PRPL-XL","74",
"4035198-ALC4045PRPL2Z-XL","ALC4045PRPL-XL","74",
"3386070-ALC4045PRPL1X-XL","ALC4045PRPL-XL","74",
"5245237-ALC4045PRPL5-XL","ALC4045PRPL-XL","74",
"4006521-ALC4045PRPL3-XL","ALC4045PRPL-XL","74",
"4161373-ALC4045PRPLXZ-XL","ALC4045PRPL-XL","74",
"4204631-ALC4045PRPLZX-XL","ALC4045PRPL-XL","74",
"3059003-ALC4045PRPL-XL","ALC4045PRPL-XL","74",
"4029959-ALC4045PRPLZ-XL","ALC4045PRPL-XL","74",
"3398689-ALC4045PRPL2X-XS","ALC4045PRPL-XS","1",
"4035198-ALC4045PRPL2Z-XS","ALC4045PRPL-XS","1",
"3386070-ALC4045PRPL1X-XS","ALC4045PRPL-XS","1",
"5245237-ALC4045PRPL5-XS","ALC4045PRPL-XS","1",
"4006521-ALC4045PRPL3-XS","ALC4045PRPL-XS","1",
"4161373-ALC4045PRPLXZ-XS","ALC4045PRPL-XS","1",
"4204631-ALC4045PRPLZX-XS","ALC4045PRPL-XS","1",
"3059003-ALC4045PRPL-XS","ALC4045PRPL-XS","1",
"4029959-ALC4045PRPLZ-XS","ALC4045PRPL-XS","1",
"4197297-ALC4045PRPLXZ2-XS","ALC4045PRPL-XS","1",
"3385691-ALC4045PRPLX-XS","ALC4045PRPL-XS","1",
"3385691-ALC4045PRPLX-XXL","ALC4045PRPL-XXL","110",
"3398689-ALC4045PRPL2X-XXL","ALC4045PRPL-XXL","110",
"4035198-ALC4045PRPL2Z-XXL","ALC4045PRPL-XXL","110",
"3386070-ALC4045PRPL1X-XXL","ALC4045PRPL-XXL","110",
"5245237-ALC4045PRPL5-XXL","ALC4045PRPL-XXL","110",
"4006521-ALC4045PRPL3-XXL","ALC4045PRPL-XXL","110",
"4161373-ALC4045PRPLXZ-XXL","ALC4045PRPL-XXL","110",
"4204631-ALC4045PRPLZX-XXL","ALC4045PRPL-XXL","110",
"3059003-ALC4045PRPL-XXL","ALC4045PRPL-XXL","110",
"4029959-ALC4045PRPLZ-XXL","ALC4045PRPL-XXL","110",
"4197297-ALC4045PRPLXZ2-XXL","ALC4045PRPL-XXL","110",
"4532127-EDT4045RAMA-L","ALC4045RAMA-L","17",
"5106077-ALC4045RAMA-L","ALC4045RAMA-L","17",
"4532127-EDT4045RAMA-M","ALC4045RAMA-M","7",
"5106077-ALC4045RAMA-M","ALC4045RAMA-M","7",
"4532127-EDT4045RAMA-S","ALC4045RAMA-S","22",
"5106077-ALC4045RAMA-S","ALC4045RAMA-S","22",
"5106077-ALC4045RAMA-XL","ALC4045RAMA-XL","17",
"4532127-EDT4045RAMA-XL","ALC4045RAMA-XL","17",
"4532127-EDT4045RAMA-XXL","ALC4045RAMA-XXL","17",
"5106077-ALC4045RAMA-XXL","ALC4045RAMA-XXL","17",
"4532382-EDT4045ROSE-L","ALC4045ROSE-L","11",
"4532382-EDT4045ROSE-S","ALC4045ROSE-S","20",
"4532382-EDT4045ROSE-XL","ALC4045ROSE-XL","1",
"4532382-EDT4045ROSE-XXL","ALC4045ROSE-XXL","18",
"4532127-EDT4045RUBY-L","ALC4045RUBY-L","27",
"4532382-EDT4045RUBY1-L","ALC4045RUBY-L","27",
"4532127-EDT4045RUBY-M","ALC4045RUBY-M","31",
"4532382-EDT4045RUBY1-M","ALC4045RUBY-M","31",
"4532382-EDT4045RUBY1-S","ALC4045RUBY-S","8",
"4532127-EDT4045RUBY-S","ALC4045RUBY-S","8",
"4532127-EDT4045RUBY-XL","ALC4045RUBY-XL","21",
"4532382-EDT4045RUBY1-XL","ALC4045RUBY-XL","21",
"4532127-EDT4045RUBY-XXL","ALC4045RUBY-XXL","32",
"4532382-EDT4045RUBY1-XXL","ALC4045RUBY-XXL","32",
"1152099-ALC4045SKY1-L","ALC4045SKY-L","13",
"3275775-ALC4045SKYX2-L","ALC4045SKY-L","13",
"3414269-TDC4045SKYX-L","ALC4045SKY-L","13",
"1873575-TDC4045SKY-L","ALC4045SKY-L","13",
"2482237-ALC4045SKYX-L","ALC4045SKY-L","13",
"4205455-ALC4045SKYXZ2-L","ALC4045SKY-L","13",
"4207437-ALC4045SKYXZ1-L","ALC4045SKY-L","13",
"4205950-ALC4045SKYXZ-L","ALC4045SKY-L","13",
"1100544-ALC4045SKY-L","ALC4045SKY-L","13",
"2483701-ALC4045SKYX1-L","ALC4045SKY-L","13",
"1891018-TDC4045SKY1-L","ALC4045SKY-L","13",
"1100544-ALC4045SKY-M","ALC4045SKY-M","1",
"2483701-ALC4045SKYX1-M","ALC4045SKY-M","1",
"1891018-TDC4045SKY1-M","ALC4045SKY-M","1",
"1152099-ALC4045SKY1-M","ALC4045SKY-M","1",
"3275775-ALC4045SKYX2-M","ALC4045SKY-M","1",
"3414269-TDC4045SKYX-M","ALC4045SKY-M","1",
"1873575-TDC4045SKY-M","ALC4045SKY-M","1",
"2482237-ALC4045SKYX-M","ALC4045SKY-M","1",
"4205455-ALC4045SKYXZ2-M","ALC4045SKY-M","1",
"4207437-ALC4045SKYXZ1-M","ALC4045SKY-M","1",
"4205950-ALC4045SKYXZ-M","ALC4045SKY-M","1",
"4207437-ALC4045SKYXZ1-S","ALC4045SKY-S","70",
"4205950-ALC4045SKYXZ-S","ALC4045SKY-S","70",
"1100544-ALC4045SKY-S","ALC4045SKY-S","70",
"2483701-ALC4045SKYX1-S","ALC4045SKY-S","70",
"1891018-TDC4045SKY1-S","ALC4045SKY-S","70",
"1152099-ALC4045SKY1-S","ALC4045SKY-S","70",
"3275775-ALC4045SKYX2-S","ALC4045SKY-S","70",
"3414269-TDC4045SKYX-S","ALC4045SKY-S","70",
"1873575-TDC4045SKY-S","ALC4045SKY-S","70",
"2482237-ALC4045SKYX-S","ALC4045SKY-S","70",
"4205455-ALC4045SKYXZ2-S","ALC4045SKY-S","70",
"3275775-ALC4045SKYX2-XL","ALC4045SKY-XL","2",
"3414269-TDC4045SKYX-XL","ALC4045SKY-XL","2",
"4205455-ALC4045SKYXZ2-XL","ALC4045SKY-XL","2",
"1873575-TDC4045SKY-XL","ALC4045SKY-XL","2",
"2482237-ALC4045SKYX-XL","ALC4045SKY-XL","2",
"4207437-ALC4045SKYXZ1-XL","ALC4045SKY-XL","2",
"4205950-ALC4045SKYXZ-XL","ALC4045SKY-XL","2",
"1100544-ALC4045SKY-XL","ALC4045SKY-XL","2",
"2483701-ALC4045SKYX1-XL","ALC4045SKY-XL","2",
"1891018-TDC4045SKY1-XL","ALC4045SKY-XL","2",
"1152099-ALC4045SKY1-XL","ALC4045SKY-XL","2",
"1873575-TDC4045SKY-XS","ALC4045SKY-XS","70",
"2482237-ALC4045SKYX-XS","ALC4045SKY-XS","70",
"4205455-ALC4045SKYXZ2-XS","ALC4045SKY-XS","70",
"4207437-ALC4045SKYXZ1-XS","ALC4045SKY-XS","70",
"4205950-ALC4045SKYXZ-XS","ALC4045SKY-XS","70",
"1100544-ALC4045SKY-XS","ALC4045SKY-XS","70",
"2483701-ALC4045SKYX1-XS","ALC4045SKY-XS","70",
"1891018-TDC4045SKY1-XS","ALC4045SKY-XS","70",
"1152099-ALC4045SKY1-XS","ALC4045SKY-XS","70",
"3275775-ALC4045SKYX2-XS","ALC4045SKY-XS","70",
"3414269-TDC4045SKYX-XS","ALC4045SKY-XS","70",
"3275775-ALC4045SKYX2-XXL","ALC4045SKY-XXL","1",
"3414269-TDC4045SKYX-XXL","ALC4045SKY-XXL","1",
"4205455-ALC4045SKYXZ2-XXL","ALC4045SKY-XXL","1",
"1873575-TDC4045SKY-XXL","ALC4045SKY-XXL","1",
"2482237-ALC4045SKYX-XXL","ALC4045SKY-XXL","1",
"4207437-ALC4045SKYXZ1-XXL","ALC4045SKY-XXL","1",
"4205950-ALC4045SKYXZ-XXL","ALC4045SKY-XXL","1",
"1100544-ALC4045SKY-XXL","ALC4045SKY-XXL","1",
"2483701-ALC4045SKYX1-XXL","ALC4045SKY-XXL","1",
"1891018-TDC4045SKY1-XXL","ALC4045SKY-XXL","1",
"1152099-ALC4045SKY1-XXL","ALC4045SKY-XXL","1",
"4160411-ALC4045TEALXZ1-L","ALC4045TEAL-L","189",
"5106077-ALC4045TEAL3-L","ALC4045TEAL-L","189",
"5255590-ALC4045TEAL6-L","ALC4045TEAL-L","189",
"3396224-ALC4045TEAL1X-L","ALC4045TEAL-L","189",
"4029959-ALC4045TEALZ-L","ALC4045TEAL-L","189",
"4161373-ALC4045TEALXZ-L","ALC4045TEAL-L","189",
"3385691-ALC4045TEALX-L","ALC4045TEAL-L","189",
"4035198-ALC4045TEAL2Z-L","ALC4045TEAL-L","189",
"4204631-ALC4045TEALZX-L","ALC4045TEAL-L","189",
"5245237-ALC4045TEAL4-L","ALC4045TEAL-L","189",
"4206911-ALC4045TEAL1XZ-L","ALC4045TEAL-L","189",
"3059003-ALC4045TEAL-L","ALC4045TEAL-L","189",
"5245237-ALC4045TEAL4-M","ALC4045TEAL-M","181",
"4206911-ALC4045TEAL1XZ-M","ALC4045TEAL-M","181",
"3059003-ALC4045TEAL-M","ALC4045TEAL-M","181",
"4160411-ALC4045TEALXZ1-M","ALC4045TEAL-M","181",
"5106077-ALC4045TEAL3-M","ALC4045TEAL-M","181",
"5255590-ALC4045TEAL6-M","ALC4045TEAL-M","181",
"3396224-ALC4045TEAL1X-M","ALC4045TEAL-M","181",
"4029959-ALC4045TEALZ-M","ALC4045TEAL-M","181",
"4161373-ALC4045TEALXZ-M","ALC4045TEAL-M","181",
"3385691-ALC4045TEALX-M","ALC4045TEAL-M","181",
"4035198-ALC4045TEAL2Z-M","ALC4045TEAL-M","181",
"4204631-ALC4045TEALZX-M","ALC4045TEAL-M","181",
"4204631-ALC4045TEALZX-S","ALC4045TEAL-S","188",
"5245237-ALC4045TEAL4-S","ALC4045TEAL-S","188",
"4206911-ALC4045TEAL1XZ-S","ALC4045TEAL-S","188",
"3059003-ALC4045TEAL-S","ALC4045TEAL-S","188",
"4160411-ALC4045TEALXZ1-S","ALC4045TEAL-S","188",
"5106077-ALC4045TEAL3-S","ALC4045TEAL-S","188",
"5255590-ALC4045TEAL6-S","ALC4045TEAL-S","188",
"3396224-ALC4045TEAL1X-S","ALC4045TEAL-S","188",
"4029959-ALC4045TEALZ-S","ALC4045TEAL-S","188",
"4161373-ALC4045TEALXZ-S","ALC4045TEAL-S","188",
"3385691-ALC4045TEALX-S","ALC4045TEAL-S","188",
"4035198-ALC4045TEAL2Z-S","ALC4045TEAL-S","188",
"3385691-ALC4045TEALX-XL","ALC4045TEAL-XL","183",
"4035198-ALC4045TEAL2Z-XL","ALC4045TEAL-XL","183",
"4204631-ALC4045TEALZX-XL","ALC4045TEAL-XL","183",
"5245237-ALC4045TEAL4-XL","ALC4045TEAL-XL","183",
"4206911-ALC4045TEAL1XZ-XL","ALC4045TEAL-XL","183",
"3059003-ALC4045TEAL-XL","ALC4045TEAL-XL","183",
"4160411-ALC4045TEALXZ1-XL","ALC4045TEAL-XL","183",
"5106077-ALC4045TEAL3-XL","ALC4045TEAL-XL","183",
"5255590-ALC4045TEAL6-XL","ALC4045TEAL-XL","183",
"3396224-ALC4045TEAL1X-XL","ALC4045TEAL-XL","183",
"4029959-ALC4045TEALZ-XL","ALC4045TEAL-XL","183",
"4161373-ALC4045TEALXZ-XL","ALC4045TEAL-XL","183",
"4204631-ALC4045TEALZX-XS","ALC4045TEAL-XS","32",
"5245237-ALC4045TEAL4-XS","ALC4045TEAL-XS","32",
"4206911-ALC4045TEAL1XZ-XS","ALC4045TEAL-XS","32",
"3059003-ALC4045TEAL-XS","ALC4045TEAL-XS","32",
"4160411-ALC4045TEALXZ1-XS","ALC4045TEAL-XS","32",
"5106077-ALC4045TEAL3-XS","ALC4045TEAL-XS","32",
"5255590-ALC4045TEAL6-XS","ALC4045TEAL-XS","32",
"3396224-ALC4045TEAL1X-XS","ALC4045TEAL-XS","32",
"4029959-ALC4045TEALZ-XS","ALC4045TEAL-XS","32",
"4161373-ALC4045TEALXZ-XS","ALC4045TEAL-XS","32",
"3385691-ALC4045TEALX-XS","ALC4045TEAL-XS","32",
"4035198-ALC4045TEAL2Z-XS","ALC4045TEAL-XS","32",
"4035198-ALC4045TEAL2Z-XXL","ALC4045TEAL-XXL","191",
"4204631-ALC4045TEALZX-XXL","ALC4045TEAL-XXL","191",
"5245237-ALC4045TEAL4-XXL","ALC4045TEAL-XXL","191",
"4206911-ALC4045TEAL1XZ-XXL","ALC4045TEAL-XXL","191",
"3059003-ALC4045TEAL-XXL","ALC4045TEAL-XXL","191",
"4160411-ALC4045TEALXZ1-XXL","ALC4045TEAL-XXL","191",
"5106077-ALC4045TEAL3-XXL","ALC4045TEAL-XXL","191",
"5255590-ALC4045TEAL6-XXL","ALC4045TEAL-XXL","191",
"3396224-ALC4045TEAL1X-XXL","ALC4045TEAL-XXL","191",
"4029959-ALC4045TEALZ-XXL","ALC4045TEAL-XXL","191",
"4161373-ALC4045TEALXZ-XXL","ALC4045TEAL-XXL","191",
"3385691-ALC4045TEALX-XXL","ALC4045TEAL-XXL","191",
"1864789-TDC4045WINE-L","ALC4045WINE-L","1",
"1886114-TDC4045WINE2-L","ALC4045WINE-L","1",
"2133166-TDC4045WINEX-L","ALC4045WINE-L","1",
"1881183-TDC4045WINE1-L","ALC4045WINE-L","1",
"1864789-TDC4045WINE-S","ALC4045WINE-S","7",
"1886114-TDC4045WINE2-S","ALC4045WINE-S","7",
"2133166-TDC4045WINEX-S","ALC4045WINE-S","7",
"1881183-TDC4045WINE1-S","ALC4045WINE-S","7",
"3387054-TDC4045YLWX-M","ALC4045YLW-M","5",
"3275775-ALC4045YLWX1-M","ALC4045YLW-M","5",
"4502826-ALC4045YLWXZ1-M","ALC4045YLW-M","5",
