CID_MEESHOSKU_SIZE,SKU,TOTAL,
"3737135-ALC2066R2-XXL","ALC2066R-XXL","1",
"543420-ALC2066R-XXL","ALC2066R-XXL","1",
"3695058-ALC2066R1-XXL","ALC2066R-XXL","1",
"543420-ALC2066W-XS","ALC2066W-XS","58",
"3737135-ALC2066W1-XS","ALC2066W-XS","58",
"788134-ALC2067RED-L","ALC2067R-L","11",
"789546-ALC2067RED-L","ALC2067R-L","11",
"151105-ALC2067RED-L","ALC2067R-L","11",
"789657-ALC2067RED-L","ALC2067R-L","11",
"151105-ALC2067RED-S","ALC2067R-S","10",
"789657-ALC2067RED-S","ALC2067R-S","10",
"788134-ALC2067RED-S","ALC2067R-S","10",
"789546-ALC2067RED-S","ALC2067R-S","10",
"789546-ALC2067RED-XL","ALC2067R-XL","41",
"151105-ALC2067RED-XL","ALC2067R-XL","41",
"789657-ALC2067RED-XL","ALC2067R-XL","41",
"788134-ALC2067RED-XL","ALC2067R-XL","41",
"151105-ALC2067RED-XS","ALC2067R-XS","71",
"789657-ALC2067RED-XS","ALC2067R-XS","71",
"788134-ALC2067RED-XS","ALC2067R-XS","71",
"789546-ALC2067RED-XS","ALC2067R-XS","71",
"789546-ALC2067RED-XXL","ALC2067R-XXL","34",
"151105-ALC2067RED-XXL","ALC2067R-XXL","34",
"789657-ALC2067RED-XXL","ALC2067R-XXL","34",
"788134-ALC2067RED-XXL","ALC2067R-XXL","34",
"788134-ALC2067W-L","ALC2067W-L","66",
"789546-ALC2067W-L","ALC2067W-L","66",
"1293413-ALC2067W3-L","ALC2067W-L","66",
"151105-ALC2067W-L","ALC2067W-L","66",
"789657-ALC2067W-L","ALC2067W-L","66",
"151105-ALC2067W-S","ALC2067W-S","110",
"789657-ALC2067W-S","ALC2067W-S","110",
"788134-ALC2067W-S","ALC2067W-S","110",
"789546-ALC2067W-S","ALC2067W-S","110",
"1293413-ALC2067W3-S","ALC2067W-S","110",
"1293413-ALC2067W3-XS","ALC2067W-XS","117",
"151105-ALC2067W-XS","ALC2067W-XS","117",
"789657-ALC2067W-XS","ALC2067W-XS","117",
"788134-ALC2067W-XS","ALC2067W-XS","117",
"789546-ALC2067W-XS","ALC2067W-XS","117",
"789546-ALC2067W-XXL","ALC2067W-XXL","349",
"1293413-ALC2067W3-XXL","ALC2067W-XXL","349",
"151105-ALC2067W-XXL","ALC2067W-XXL","349",
"789657-ALC2067W-XXL","ALC2067W-XXL","349",
"788134-ALC2067W-XXL","ALC2067W-XXL","349",
"3695058-ALC2068YLW1-L","ALC2068YLW-L","51",
"789657-ALC2068YLW-L","ALC2068YLW-L","51",
"788134-ALC2068YLW-L","ALC2068YLW-L","51",
"3737135-ALC2068YLW3-L","ALC2068YLW-L","51",
"789546-ALC2068YLW-L","ALC2068YLW-L","51",
"1278053-ALC2068YLW2-L","ALC2068YLW-L","51",
"151105-ALC2068YLW-L","ALC2068YLW-L","51",
"1278053-ALC2068YLW2-M","ALC2068YLW-M","14",
"151105-ALC2068YLW-M","ALC2068YLW-M","14",
"3695058-ALC2068YLW1-M","ALC2068YLW-M","14",
"789657-ALC2068YLW-M","ALC2068YLW-M","14",
"788134-ALC2068YLW-M","ALC2068YLW-M","14",
"3737135-ALC2068YLW3-M","ALC2068YLW-M","14",
"789546-ALC2068YLW-M","ALC2068YLW-M","14",
"1278053-ALC2068YLW2-S","ALC2068YLW-S","32",
"151105-ALC2068YLW-S","ALC2068YLW-S","32",
"3695058-ALC2068YLW1-S","ALC2068YLW-S","32",
"789657-ALC2068YLW-S","ALC2068YLW-S","32",
"788134-ALC2068YLW-S","ALC2068YLW-S","32",
"3737135-ALC2068YLW3-S","ALC2068YLW-S","32",
"789546-ALC2068YLW-S","ALC2068YLW-S","32",
"789546-ALC2068YLW-XS","ALC2068YLW-XS","258",
"1278053-ALC2068YLW2-XS","ALC2068YLW-XS","258",
"151105-ALC2068YLW-XS","ALC2068YLW-XS","258",
"3695058-ALC2068YLW1-XS","ALC2068YLW-XS","258",
"789657-ALC2068YLW-XS","ALC2068YLW-XS","258",
"788134-ALC2068YLW-XS","ALC2068YLW-XS","258",
"3737135-ALC2068YLW3-XS","ALC2068YLW-XS","258",
"3737135-ALC2068YLW3-XXL","ALC2068YLW-XXL","1",
"789546-ALC2068YLW-XXL","ALC2068YLW-XXL","1",
"1278053-ALC2068YLW2-XXL","ALC2068YLW-XXL","1",
"151105-ALC2068YLW-XXL","ALC2068YLW-XXL","1",
"3695058-ALC2068YLW1-XXL","ALC2068YLW-XXL","1",
"789657-ALC2068YLW-XXL","ALC2068YLW-XXL","1",
"788134-ALC2068YLW-XXL","ALC2068YLW-XXL","1",
"789657-ALC2069PCH-L","ALC2069PCH-L","2",
"693536-ALC2069PCH-L","ALC2069PCH-L","2",
"788134-ALC2069PCH-L","ALC2069PCH-L","2",
"3737135-ALC2069PCH1-L","ALC2069PCH-L","2",
"789546-ALC2069PCH-L","ALC2069PCH-L","2",
